[00:00:00.000]  Hi, welcome back to Eat Your Crust Podcast. I'm Jeesoo and I'm Crystal.
[00:00:07.000]  Alright so we're going to switch things up a little bit and I will intro the Gen Z word slash sling word of the week.
[00:00:23.000]  This is something that I found on TikTok in the comments actually where I just saw the comments of this one video.
[00:00:30.000]  It was all this one phrase for the phrase today is lock in so the meaning of this word I think is somewhat easy to figure out it basically means you get into the zone,
[00:00:43.000]  you kind of pull it together, you concentrate a little bit and you really lock in but the Know Your Mean page has some of the funniest memes I've ever seen.
[00:00:52.000]  So one of them is when the face ID fucking up and I got a lock in and it has three emojis to which are crying emojis and the third one is just like a really sculptured defined face emoji which is so funny.
[00:01:05.000]  It's like I definitely have been there. The other one is when you're drunk as fuck in a 7-11 and you got to lock in to talk to the cashier.
[00:01:14.000]  Like both memes are actually you just instantly know what lock in means.
[00:01:18.000]  I was surprised that this is like such a popular phrase now because you said you've been seeing it all over TikTok comments,
[00:01:25.000]  just like lock in, lock in because I kind of know it from gaming not even necessarily as a slang phrase but now that I think about it the nature of it is kind of slain.
[00:01:39.000]  But whenever you're playing a game and you're losing and it's a team game it's very common to hear like all right everyone like lock in,
[00:01:46.000]  you know we're gonna turn this around, we're gonna start winning or maybe you're playing against someone they're like are I gotta like sit up now and like lock in play properly against you now.
[00:01:56.000]  So that's kind of how I have heard it use in the past but I think the memes and the comments are really funny in all these real world situations.
[00:02:06.000]  It's so relatable.
[00:02:08.000]  Yeah, and I feel like what's also hilarious is I think you're right like this phrase specifically can be attributed to so many different situations.
[00:02:17.000]  You're slacking a little bit and then suddenly you have to like really focus and put it together but the way the meme format is it's like I'm looking at one meme here on No Your Meme.
[00:02:26.000]  A picture of Mario looking goofy as hell.
[00:02:28.000]  And the next picture is literally Mario like staring into the I guess camera like the photo looking really stashed.
[00:02:35.000]  I don't want this is so iconic.
[00:02:38.000]  So funny.
[00:02:39.000]  What are examples of TikToks that you've seen the comments for?
[00:02:43.000]  So I think you're right, I'm scrolling through TikTok and I see a bunch of like gamer ones but I see this one that's super funny.
[00:02:50.000]  It says POV, you're having a breakdown in your room and you start hearing footsteps so you have to lock it.
[00:02:55.000]  Oh my god.
[00:02:56.000]  That's just so like this is the most relatable phrase I've ever heard in my entire life.
[00:03:00.000]  Yeah.
[00:03:01.000]  There's so many moments where I'm like okay got to lock it.
[00:03:03.000]  Yeah.
[00:03:04.000]  Oh my god, that's so funny.
[00:03:05.000]  I can think of one like I feel like a lot of people can relate to this back in the day and in school when your parents aren't home from work yet and you're slacking but then you hear the garage door open.
[00:03:16.000]  Oh my god.
[00:03:17.000]  Yeah. And your mom was like oh can you make the right or like can you defrost as you're like fuck?
[00:03:22.000]  You got to lock it.
[00:03:24.000]  And I feel like also back in high school when I told my mom I couldn't do something because I had to study and then I was just goofing off in my room and I hear footsteps.
[00:03:31.000]  Got to lock it.
[00:03:32.000]  Yeah.
[00:03:33.000]  What a great phrase.
[00:03:34.000]  I like that this is becoming popular.
[00:03:36.000]  Oh yeah, I'm a big fan.
[00:03:38.000]  I think we should incorporate into our daily vocabulary.
[00:03:41.000]  Agreed.
[00:03:42.000]  It's so fun to use outside of the gaming context.
[00:03:45.000]  Well I definitely know I'm going to be spending all my time flipping through lock in tic-tocs later but back to the podcast topic at hand today.
[00:03:55.000]  Today we wanted to really talk a little bit about the generational gap.
[00:04:00.000]  This one is specifically dedicated to our parents where we wanted to dive in a little bit about the differences and I guess attitude and sort of outlook on life or different aspects of life that we've been experiencing in terms of us versus our parents and how dealing with that has evolved over the years.
[00:04:17.000]  I feel like almost all aspects of life there's potential conflicting viewpoints just because our backgrounds are so different.
[00:04:27.000]  Things as basic as like friendships and then as complicated as like finances and career paths.
[00:04:33.000]  One example I can actually think of for friendships is and I think we might have mentioned this on the podcast before just as a random comment but I remember specifically when I was growing up my parents would say oh your high school friends aren't necessarily going to be your lifelong friends.
[00:04:51.000]  You know when they said that I guess I didn't know how to react because I didn't know for sure.
[00:04:57.000]  I was like I guess there's some like possibility to these words that they're saying but also like I don't know if that's going to be true for me either and then as we've grown older very interestingly at least for us and a lot of people just in the Bay Area in general.
[00:05:11.000]  We still continue to uphold our high school connections to a decent degree and just thinking about it why did my parents say that back in the day it makes so much sense because they literally left their home country and came to a new country across the world.
[00:05:28.000]  So of course you know they're not going to be as close with their high school friends as we would be because we're still in the same country that we've been growing up in for the most part of our lives.
